layer,ref,mentions,binding,sources,sample,ruling
or,34,28,0,25.willamette-historic.txt 08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt 14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt 39.cfu.txt 39.efu.txt 39.mua-20.txt 39.oci.txt 39.or.txt 39.rural-residential.txt,"Accessory uses are allowed in this zone as provided by Chapter 34 CDC. (Ord. 1745 § 1 (Exh. A), 2023)",
or,35,22,0,08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt 14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt 31.definitions.txt 40-41.residential.txt,"Nonconforming Situations, Development, or Lots. See TDC Chapter 35 (Nonconforming Situations).",
or,9.0851,22,0,4.1400.pleasant-valley.txt 4.1500.springwater.txt 4.0300.industrial.txt 4.0400.corridor.txt,G. Minimum Bicycle Parking Required                                                         See Section 9.0851                                            See Se,
or,52,21,0,02.definitions.txt 08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt 14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt 17.zoning.txt,cle parking spaces as required in Chapter 52 of this title.,
or/clackamas/west-linn,52,20,0,02.definitions.txt 08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt 14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt,"The following terms and phrases shall have the meanings given to them below with regard to Chapter 52 CDC, Signs:",
or,60,19,0,08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt 14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt 41.steep-lots.txt,C. The approval of a conditional use (CDC 08.060) is discretionary with the Planning Commission. The approval process and criteria for approval are set forth in,
or,66,19,0,08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt 14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt 02.definitions.txt,"Type I and II lands shall not be counted toward lot area when determining allowable floor area ratio, except that a minimum floor area ratio of 0.30 shall be al",
or/clackamas/west-linn,60,19,0,08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt 14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt 41.steep-lots.txt,C. The approval of a conditional use (CDC 08.060) is discretionary with the Planning Commission. The approval process and criteria for approval are set forth in,
or,11.50,18,0,33.100.txt 33.110.txt 33.140.txt 33.120.txt 33.130.txt 33.150.txt,"preservation and protection requirements of Title 11, Trees.  See Chapter 11.50, Trees in",
or,33.258,18,0,33.100.txt 33.110.txt 33.140.txt 33.120.txt 33.130.txt 33.150.txt,"categories listed as prohibited may be subject to the regulations of Chapter 33.258,",
or,80,18,0,08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt 14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt,"A. A use permitted outright, CDC 08.030, is a use which requires no approval under the provisions of this code, except that some uses require design review purs",
